Equilibria,Player,Bid_for_v_0,Bid_for_v_1,Bid_for_v_2,Bid_for_v_3,Bid_for_v_4,Bid_for_v_5,Bid_for_v_6,Bid_for_v_7,Bid_for_v_8,Bid_for_v_9,Bid_for_v_10,Bid_for_v_11,Bid_for_v_12,Bid_for_v_13
1,Bidder_1,0,0,1,2,3,3,4,5,5,6,7,7,8,9
1,Bidder_2,0,0,1,2,2,4,4,4,6,6,6,8,8,8
1,Bidder_3,0,0,1,2,3,3,3,5,5,5,7,7,7,9
